1535	267.7
1534	268.42
1533	276.06
1532	272.31
1531	273.2
1530	274.96
1529	267.78
1528	291.81
1527	285.88
1526	289.18
1525	279.86
1524	278.62
1523	274.83
1522	267.77
1521	260.42
1520	264.53
1519	274.02
1518	273.6
1517	267.47
1516	269.49
1515	275.43
1514	289.96
1513	288.96
1512	283.36
1511	290.92
1510	284.14
1509	276.59
1508	276.24
1507	276.54
1506	285.36
1505	294.79
1504	319.88
1503	314.74
1502	297.86
1501	298.77
1500	294.71
1499	291.23
1498	302.56
1497	305.64
1496	307.88
1495	303.77
1494	308.17
1493	311.81
1492	312.84
1491	305.8
1490	307.51
1489	317.22
1488	321.35
1487	312.89
1486	312.21
1485	307.02
1484	308.77
1483	297.46
1482	296.38
1481	297.04
1480	291.51
1479	287.59
1478	298.92
1477	302.26
1476	347.31
1475	346.05
1474	344.43
1473	334.4
1472	347.26
1471	344.97
1470	338.53
1469	335.35
1468	334.96
1467	317.69
1466	300.36
1465	310.12
1464	332.8
1463	333.87
1462	316.13
1461	326.09
1460	295.39
1459	319.77
1458	315.38
1457	332.97
1456	337.03
1455	348.42
1454	365.71
1453	376.79
1452	366.6
1451	366.76
1450	365.15
1449	357.96
1448	363.06
1447	359.7
1446	358.49
1445	350.48
1444	341.17
1443	347.87
1442	343.92
1441	346
1440	325.83
1439	338.19
1438	347.49
1437	353.47
1436	354.31
1435	348.44
1434	344
1433	338.73
1432	331.28
1431	350.51
1430	351.4
1429	348.16
1428	341.06
1427	341.4
1426	346.41
1425	344.28
1424	337.32
1423	329.9
1422	334.85
1421	330.9
1420	314.86
1419	288.5
1418	294.14
1417	260.95
1416	260
1415	263.91
1414	271.78
1413	276.59
1412	259.59
1411	258.78
1410	252.23
1409	256.88
1408	262.8
1407	250.56
1406	261.95
1405	281.83
1404	294.8
1403	301.02
1402	310.7
1401	264.77
1400	307.52
1399	309.58
1398	300.99
1397	299.68
1396	299.1
1395	298.33
1394	299.02
1393	284.96
1392	294.84
1391	295.2
1390	289.46
1389	290.54
1388	279.44
1387	285.5
1386	263.24
1385	280.95
1384	280.74
1383	288.95
1382	301.66
1381	303.15
1380	305.01
1379	311.86
1378	319.27
1377	322.82
1376	320.1
1375	321.64
1374	321.9
1373	308.44
1372	305.5
1371	335.45
1370	338.69
1369	347.64
1368	356.41
1367	355.49
1366	352.45
1365	370.34
1364	379.57
1363	341.99
1362	348.17
1361	349.54
1360	300.84
1359	298.14
1358	290.17
1357	297.18
1356	306.65
1355	308.74
1354	297.43
1353	303.2
1352	313.58
1351	320.23
1350	323.85
1349	322.69
1348	310.1
1347	318.87
1346	316.71
1345	318.96
1344	322.47
1343	318.51
1342	308.9
1341	309.16
1340	310.86
1339	335.07
1338	342.95
1337	349.93
1336	344.5
1335	342
1334	333.01
1333	333.63
1332	347.51
1331	362.22
1330	352.55
1329	370.83
1328	358.17
1327	357.72
1326	344.78
1325	342.77
1324	332.1
